Method,nlist,m,nprobe,L,Recall,Latency(us)
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=12,L=500,0.8815,183
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=16,L=100,0.593,113
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=16,L=200,0.751,150
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=16,L=500,0.892,197
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=20,L=100,0.557,92
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=20,L=200,0.7165,143
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=20,L=500,0.877,258
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=24,L=100,0.53,171
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=24,L=200,0.686,157
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=24,L=500,0.8635,245
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=32,L=100,0.489,154
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=32,L=200,0.6485,202
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=32,L=500,0.84,301
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=64,L=100,0.3865,336
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=64,L=200,0.5325,251
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=64,L=500,0.742,320
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=128,L=100,0.2865,511
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=128,L=200,0.4135,492
IVF-PQ(Serial)+Rerank,nlist=512,m=8,nprobe=128,L=500,0.621,448
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=4,L=100,0.747,162
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=4,L=200,0.8395,179
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=4,L=500,0.8945,282
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=8,L=100,0.705,335
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=8,L=200,0.822,368
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=8,L=500,0.918,346
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=12,L=100,0.668,452
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=12,L=200,0.7915,438
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=12,L=500,0.9135,543
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=16,L=100,0.638,538
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=16,L=200,0.767,442
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=16,L=500,0.901,617
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=20,L=100,0.609,607
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=20,L=200,0.744,705
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=20,L=500,0.888,969
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=24,L=100,0.5915,688
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=24,L=200,0.7245,811
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=24,L=500,0.8765,861
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=32,L=100,0.5655,1094
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=32,L=200,0.705,1059
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=32,L=500,0.862,996
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=64,L=100,0.505,2117
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=64,L=200,0.6365,2041
IVF-PQ(Serial)+Rerank,nlist=64,m=16,nprobe=64,L=500,0.7955,2162
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=4,L=100,0.78,250
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=4,L=200,0.851,261
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=4,L=500,0.897,352
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=8,L=100,0.739,450
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=8,L=200,0.847,554
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=8,L=500,0.931,631
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=12,L=100,0.717,594
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=12,L=200,0.829,733
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=12,L=500,0.9335,1068
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=16,L=100,0.694,938
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=16,L=200,0.8125,933
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=16,L=500,0.9245,843
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=20,L=100,0.667,1006
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=20,L=200,0.7935,891
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=20,L=500,0.9115,1358
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=24,L=100,0.645,1166
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=24,L=200,0.779,1189
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=24,L=500,0.902,1470
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=32,L=100,0.618,1778
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=32,L=200,0.7545,1606
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=32,L=500,0.8815,1554
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=64,L=100,0.552,2843
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=64,L=200,0.6925,3407
IVF-PQ(Serial)+Rerank,nlist=64,m=32,nprobe=64,L=500,0.8315,3368
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=4,L=100,0.788,319
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=4,L=200,0.8545,785
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=4,L=500,0.898,433
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=8,L=100,0.7485,656
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=8,L=200,0.852,669
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=8,L=500,0.9315,738
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=12,L=100,0.726,1152
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=12,L=200,0.834,920
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=12,L=500,0.9315,1032
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=16,L=100,0.6995,1147
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=16,L=200,0.8135,1389
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=16,L=500,0.924,1160
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=20,L=100,0.678,1526
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=20,L=200,0.793,1595
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=20,L=500,0.9115,1730
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=24,L=100,0.6595,1964
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=24,L=200,0.7795,1807
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=24,L=500,0.902,2105
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=32,L=100,0.628,2481
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=32,L=200,0.758,2906
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=32,L=500,0.8835,2715
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=64,L=100,0.5655,5061
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=64,L=200,0.6935,4476
IVF-PQ(Serial)+Rerank,nlist=64,m=48,nprobe=64,L=500,0.828,6275
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=4,L=100,0.654,182
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=4,L=200,0.769,176
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=4,L=500,0.862,225
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=8,L=100,0.5925,249
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=8,L=200,0.718,268
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=8,L=500,0.86,956
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=12,L=100,0.549,346
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=12,L=200,0.6875,373
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=12,L=500,0.836,704
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=16,L=100,0.525,497
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=16,L=200,0.653,419
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=16,L=500,0.813,461
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=20,L=100,0.499,636
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=20,L=200,0.627,607
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=20,L=500,0.7895,3568
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=24,L=100,0.4805,3125
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=24,L=200,0.6115,2492
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=24,L=500,0.775,1510
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=32,L=100,0.4485,1763
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=32,L=200,0.587,2410
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=32,L=500,0.749,1900
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=64,L=100,0.3945,3557
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=64,L=200,0.523,3013
IVF-PQ(Serial)+Rerank,nlist=64,m=8,nprobe=64,L=500,0.6795,3023
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=4,L=100,0.7475,2253
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=4,L=200,0.826,978
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=4,L=500,0.869,1089
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=8,L=100,0.705,614
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=8,L=200,0.822,1158
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=8,L=500,0.917,1623
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=12,L=100,0.658,2141
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=12,L=200,0.795,3252
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=12,L=500,0.9165,1865
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=16,L=100,0.6145,1699
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=16,L=200,0.768,1108
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=16,L=500,0.9065,1318
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=20,L=100,0.5845,2391
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=20,L=200,0.739,2089
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=20,L=500,0.8905,2974
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=24,L=100,0.5575,1320
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=24,L=200,0.7155,1470
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=24,L=500,0.8675,2447
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=32,L=100,0.5255,1731
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=32,L=200,0.681,1514
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=32,L=500,0.84,2397
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=64,L=100,0.4455,2399
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=64,L=200,0.593,2913
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=64,L=500,0.7755,1509
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=128,L=100,0.3885,6109
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=128,L=200,0.5095,2504
IVF-PQ(OpenMP)+Rerank,nlist=128,m=16,nprobe=128,L=500,0.6965,1756
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=4,L=100,0.7735,1255
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=4,L=200,0.8405,430
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=4,L=500,0.8705,695
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=8,L=100,0.757,575
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=8,L=200,0.852,737
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=8,L=500,0.926,555
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=12,L=100,0.7195,1257
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=12,L=200,0.8395,1949
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=12,L=500,0.9335,669
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=16,L=100,0.6775,494
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=16,L=200,0.8125,574
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=16,L=500,0.931,3028
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=20,L=100,0.642,518
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=20,L=200,0.7935,539
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=20,L=500,0.9185,643
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=24,L=100,0.609,540
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=24,L=200,0.769,644
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=24,L=500,0.9095,1994
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=32,L=100,0.578,630
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=32,L=200,0.735,685
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=32,L=500,0.8885,712
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=64,L=100,0.5025,1118
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=64,L=200,0.6535,2655
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=64,L=500,0.8225,4182
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=128,L=100,0.435,4607
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=128,L=200,0.577,11680
IVF-PQ(OpenMP)+Rerank,nlist=128,m=32,nprobe=128,L=500,0.7355,14588
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=4,L=100,0.7785,353
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=4,L=200,0.8395,685
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=4,L=500,0.87,472
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=8,L=100,0.7595,391
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=8,L=200,0.856,400
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=8,L=500,0.928,482
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=12,L=100,0.7255,589
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=12,L=200,0.839,455
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=12,L=500,0.936,517
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=16,L=100,0.686,502
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=16,L=200,0.825,498
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=16,L=500,0.9305,558
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=20,L=100,0.652,529
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=20,L=200,0.799,624
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=20,L=500,0.921,653
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=24,L=100,0.622,568
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=24,L=200,0.772,621
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=24,L=500,0.907,659
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=32,L=100,0.588,703
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=32,L=200,0.7435,732
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=32,L=500,0.89,792
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=64,L=100,0.5145,965
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=64,L=200,0.6615,1148
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=64,L=500,0.829,1217
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=128,L=100,0.446,1958
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=128,L=200,0.5855,2054
IVF-PQ(OpenMP)+Rerank,nlist=128,m=48,nprobe=128,L=500,0.7445,2162
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=4,L=100,0.658,296
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=4,L=200,0.7555,309
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=4,L=500,0.853,376
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=8,L=100,0.5975,319
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=8,L=200,0.7355,346
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=8,L=500,0.865,414
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=12,L=100,0.539,346
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=12,L=200,0.6905,372
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=12,L=500,0.841,451
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=16,L=100,0.498,377
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=16,L=200,0.6575,391
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=16,L=500,0.825,452
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=20,L=100,0.4685,409
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=20,L=200,0.623,772
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=20,L=500,0.8,520
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=24,L=100,0.4395,426
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=24,L=200,0.588,481
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=24,L=500,0.7805,542
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=32,L=100,0.4065,516
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=32,L=200,0.549,579
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=32,L=500,0.749,642
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=64,L=100,0.332,784
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=64,L=200,0.4605,796
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=64,L=500,0.6495,865
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=128,L=100,0.277,1393
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=128,L=200,0.3915,1348
IVF-PQ(OpenMP)+Rerank,nlist=128,m=8,nprobe=128,L=500,0.571,1464
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=4,L=100,0.7415,318
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=4,L=200,0.7965,331
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=4,L=500,0.8165,415
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=8,L=100,0.731,337
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=8,L=200,0.8375,344
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=8,L=500,0.8995,436
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=12,L=100,0.683,348
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=12,L=200,0.8195,370
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=12,L=500,0.9215,446
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=16,L=100,0.653,406
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=16,L=200,0.7925,420
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=16,L=500,0.9225,506
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=20,L=100,0.6185,391
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=20,L=200,0.769,436
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=20,L=500,0.9185,522
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=24,L=100,0.5915,438
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=24,L=200,0.745,443
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=24,L=500,0.905,481
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=32,L=100,0.551,433
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=32,L=200,0.702,444
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=32,L=500,0.879,563
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=64,L=100,0.454,581
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=64,L=200,0.6,599
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=64,L=500,0.799,669
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=128,L=100,0.3745,771
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=128,L=200,0.5115,864
IVF-PQ(OpenMP)+Rerank,nlist=256,m=16,nprobe=128,L=500,0.7045,872
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=4,L=100,0.765,349
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=4,L=200,0.8045,361
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=4,L=500,0.816,469
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=8,L=100,0.772,355
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=8,L=200,0.8615,447
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=8,L=500,0.9075,479
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=12,L=100,0.735,392
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=12,L=200,0.857,392
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=12,L=500,0.9295,458
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=16,L=100,0.695,431
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=16,L=200,0.8395,456
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=16,L=500,0.933,551
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=20,L=100,0.6685,469
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=20,L=200,0.819,469
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=20,L=500,0.9305,580
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=24,L=100,0.6475,690
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=24,L=200,0.8005,522
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=24,L=500,0.9305,596
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=32,L=100,0.6005,550
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=32,L=200,0.762,568
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=32,L=500,0.912,686
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=64,L=100,0.499,654
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=64,L=200,0.6585,712
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=64,L=500,0.849,768
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=128,L=100,0.43,911
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=128,L=200,0.5635,965
IVF-PQ(OpenMP)+Rerank,nlist=256,m=32,nprobe=128,L=500,0.7685,1130
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=4,L=100,0.7715,384
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=4,L=200,0.8095,405
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=4,L=500,0.822,462
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=8,L=100,0.778,385
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=8,L=200,0.866,419
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=8,L=500,0.913,483
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=12,L=100,0.741,389
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=12,L=200,0.86,432
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=12,L=500,0.933,556
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=16,L=100,0.7065,498
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=16,L=200,0.8475,489
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=16,L=500,0.938,584
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=20,L=100,0.6825,524
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=20,L=200,0.8255,532
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=20,L=500,0.933,588
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=24,L=100,0.6475,505
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=24,L=200,0.7995,558
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=24,L=500,0.9305,636
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=32,L=100,0.6125,553
IVF-PQ(OpenMP)+Rerank,nlist=256,m=48,nprobe=32,L=200,0.771,598
